,id,长度,句数,被动,总词数,连副词
2388,1206453411.txt,6470,58,1,2835,77
2389,63610138.txt,8581,94,3,4546,193
2390,1205993631.txt,12699,65,0,6089,147
2391,1205992847.txt,12902,133,0,5948,245
2392,1200767949.txt,37409,400,7,18003,631
2393,63861362.txt,8882,84,6,4495,187
2394,1203442899.txt,5132,66,0,2777,128
2395,1212688227.txt,59729,474,6,29753,764
2396,1200741646.txt,27395,218,1,11554,445
2397,1209703201.txt,17767,210,2,9499,394
2398,57818281.txt,12957,134,1,6513,285
2399,1209484347.txt,16103,93,1,4495,157
2400,1203211507.txt,5496,72,2,2902,107
2401,1203291161.txt,9938,123,2,5241,216
2402,1212940694.txt,7633,78,3,3997,159
2403,51101535.txt,6508,73,5,3482,150
2404,1209452626.txt,28712,275,2,11846,526
2405,1207404976.txt,32804,285,2,15189,408
2406,63821332.txt,4338,52,0,2280,94
2407,1204625180.txt,5306,66,6,2726,119
2408,1204545410.txt,27678,249,4,14124,410
2409,1207668934.txt,0,0,0,0,0
2410,62852645.txt,6828,54,1,2907,90
2411,21903000.txt,7303,60,0,3803,171
2412,60694777.txt,4923,53,0,2537,107
2413,60870834.txt,9297,123,0,4919,186
2414,1209879404.txt,24472,325,1,12722,594
2415,1204807548.txt,41224,374,6,21238,642
2416,1205969622.txt,38339,412,14,19380,636
2417,49346651.txt,5851,78,4,3212,132
2418,51466185.txt,11818,119,5,5684,253
2419,1207656975.txt,0,0,0,0,0
2420,60774008.txt,9882,108,2,5183,221
2421,1212725387.txt,22202,168,0,9829,294
2422,1206094550.txt,12308,88,1,5198,166
2423,1206170119.txt,0,0,0,0,0
2424,1202151359.txt,6765,93,1,3579,158
2425,1204628882.txt,5474,71,1,2942,109
2426,1203221873.txt,32109,394,8,15352,590
2427,1213134512.txt,0,0,0,0,0
2428,1213254501.txt,14325,166,1,6279,219
2429,1207394243.txt,14096,139,2,6558,230
2430,1204625492.txt,8187,122,3,4643,138
2431,1212581477.txt,9237,101,2,4673,155
2432,1202261629.txt,4113,54,0,2221,92
2433,1209878669.txt,14152,150,1,7361,272
2434,62197623.txt,40764,349,23,17984,582
2435,1212743422.txt,20437,175,0,8103,283
2436,62382355.txt,37555,356,5,17626,532
2437,1212857766.txt,20357,187,3,8925,337
2438,1209879624.txt,35079,472,5,18510,671
2439,1205922117.txt,4341,48,0,2327,129
2440,1203245500.txt,25406,276,11,13515,576
2441,1204517000.txt,8351,90,0,4251,190
2442,1200756387.txt,4970,62,4,2606,125
2443,62279543.txt,0,0,0,0,0
